ReportNumber,Date,Section,Description,Address,Person_Charged
2510509,2025-10-31,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,819 9TH ST,
2510508,2025-10-31,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1043 PLEASANT ST,Yes
2510469,2025-10-30,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,922 12TH ST,Yes
2510305,2025-10-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1129 13TH ST,Yes
2510041,2025-10-19,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2037 WALNUT ST,Yes
2509988,2025-10-17,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,662 MANHATTAN DR,Yes
2025-CIT-00005128,2025-10-16,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,1700 15TH ST,Yes
2510438,2025-10-14,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,3310 EVERETT DR,Yes
2509997,2025-10-14,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,3535 19TH ST,Yes
2509696,2025-10-08,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,5839 ARAPAHOE AVE,
2509629,2025-10-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3840 COLORADO AVE,Yes
2509561,2025-10-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,831 17TH ST,
2509597,2025-10-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2420 PANORAMA AVE,Yes
2509573,2025-10-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2695 ILIFF ST,Yes
2509568,2025-10-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,240 ABBEY PL,Yes
2509507,2025-10-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1023 GRANDVIEW AVE,Yes
2509490,2025-10-03,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,645 PEARL ST,Yes
2025-CIT-00004914,2025-10-01,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,28TH/COLORADO,Yes
2509339,2025-09-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,920 14TH ST,Yes
2509232,2025-09-27,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,720 39TH ST,Yes
2509248,2025-09-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1069 12TH ST,Yes
2509101,2025-09-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,972 14TH ST,Yes
2509029,2025-09-21,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,928 10TH ST,Yes
2509020,2025-09-20,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,2650 SHERWOOD CIR,Yes
2025-CIT-00004752,2025-09-19,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,1600 ARAPAHOE AVE,Yes
2508973,2025-09-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,985 PLEASANT ST,Yes
